"SID","article_number","atlas","global_mean","parameter_estimate","outlier","run","trial","article_cond","msg_share","msg_rel_self","msg_rel_social","trial_type","topic","site"
"BPA01","82","sensorimotor",-0.234262138605118,0.018888935446739,"no","1",29,"self",4,4,3,"read_self","climate","Netherlands"
"BPA01","18","value",0.459232777357101,-0.395680904388428,"no","2",68,"control",2,2,2,"read_control","health","Netherlands"
"BPA01","18","auditory",0.459232777357101,0.79672908782959,"no","2",68,"control",2,2,2,"read_control","health","Netherlands"
"BPA01","18","sensorimotor",0.459232777357101,0.393199354410172,"no","2",68,"control",2,2,2,"read_control","health","Netherlands"
"BPA01","28","value",-0.082984521985054,-0.002081664279103,"no","2",46,"control",3,3,2,"read_control","health","Netherlands"
"BPA01","28","auditory",-0.082984521985054,0.044774241745472,"no","2",46,"control",3,3,2,"read_control","health","Netherlands"
"BPA01","28","sensorimotor",-0.082984521985054,0.24490849673748,"no","2",46,"control",3,3,2,"read_control","health","Netherlands"
"BPA01","30","value",0.525195121765137,0.095409408211708,"no","2",67,"control",3,2,2,"read_control","climate","Netherlands"
"BPA01","30","auditory",0.525195121765137,-0.0099734691903,"no","2",67,"control",3,2,2,"read_control","climate","Netherlands"
"BPA01","30","sensorimotor",0.525195121765137,0.422478437423706,"no","2",67,"control",3,2,2,"read_control","climate","Netherlands"
"BPA01","32","value",-0.138970971107483,-0.248419880867004,"no","2",55,"control",3,3,3,"read_control","climate","Netherlands"
"BPA01","32","auditory",-0.138970971107483,-0.088763326406479,"no","2",55,"control",3,3,3,"read_control","climate","Netherlands"
"BPA01","32","sensorimotor",-0.138970971107483,-0.382353335618973,"no","2",55,"control",3,3,3,"read_control","climate","Netherlands"
"BPA01","54","value",-0.36806321144104,-0.392954438924789,"no","2",54,"control",2,1,2,"read_control","health","Netherlands"
"BPA01","54","auditory",-0.36806321144104,-0.184141278266907,"no","2",54,"control",2,1,2,"read_control","health","Netherlands"
"BPA01","54","sensorimotor",-0.36806321144104,-0.25043112039566,"no","2",54,"control",2,1,2,"read_control","health","Netherlands"
"BPA01","55","value",0.209713205695152,0.002647215034813,"no","2",65,"control",3,4,4,"read_control","climate","Netherlands"
"BPA01","55","auditory",0.209713205695152,0.09898229688406,"no","2",65,"control",3,4,4,"read_control","climate","Netherlands"
"BPA01","55","sensorimotor",0.209713205695152,0.153541833162308,"no","2",65,"control",3,4,4,"read_control","climate","Netherlands"
"BPA01","58","value",-0.454957962036133,-0.571035027503967,"no","2",53,"control",3,3,3,"read_control","health","Netherlands"
"BPA01","58","auditory",-0.454957962036133,-0.503658533096313,"no","2",53,"control",3,3,3,"read_control","health","Netherlands"
"BPA01","58","sensorimotor",-0.454957962036133,-0.43176531791687,"no","2",53,"control",3,3,3,"read_control","health","Netherlands"
"BPA01","7","value",0.118812642991543,-0.150805324316025,"no","2",66,"control",1,1,2,"read_control","health","Netherlands"
"BPA01","7","auditory",0.118812642991543,-0.527400076389313,"no","2",66,"control",1,1,2,"read_control","health","Netherlands"
"BPA01","7","sensorimotor",0.118812642991543,-0.185795187950134,"no","2",66,"control",1,1,2,"read_control","health","Netherlands"
"BPA01","78","value",0.009601439349353,-0.194494932889938,"no","2",45,"control",4,4,4,"read_control","health","Netherlands"
"BPA01","78","auditory",0.009601439349353,0.071841225028038,"no","2",45,"control",4,4,4,"read_control","health","Netherlands"
"BPA01","78","sensorimotor",0.009601439349353,-0.127164915204048,"no","2",45,"control",4,4,4,"read_control","health","Netherlands"
"BPA01","81","value",0.131204009056091,0.032499365508556,"no","2",48,"control",3,4,3,"read_control","climate","Netherlands"
"BPA01","81","auditory",0.131204009056091,0.170528784394264,"no","2",48,"control",3,4,3,"read_control","climate","Netherlands"
