"article_cond","SID","article_number","exclude_item","topic","n_words","msg_rel_self","msg_rel_social","msg_share_broad","msg_share_narrow"
"control","BB-W1-0241",7,0,"climate",NA,10,20,15,0
"control","BB-W1-0241",18,0,"climate",NA,100,100,76,25
"control","BB-W1-0241",19,0,"climate",NA,69,46,10,0
"control","BB-W1-0241",21,0,"climate",NA,5,5,0,0
"control","BB-W1-0241",25,0,"climate",NA,100,100,60,20
"control","BB-W1-0243",2,0,"climate",NA,58,100,0,65
"control","BB-W1-0243",4,0,"climate",NA,75,78,0,81
"control","BB-W1-0243",5,0,"climate",NA,72,79,0,26
"control","BB-W1-0243",12,0,"climate",NA,0,37,0,0
"control","BB-W1-0243",17,0,"climate",NA,41,43,0,29
"control","BB-W1-0244",2,0,"climate",NA,7,3,3,1
"control","BB-W1-0244",7,0,"climate",NA,90,86,54,75
"control","BB-W1-0244",9,0,"climate",NA,30,38,8,4
"control","BB-W1-0244",20,0,"climate",NA,100,100,30,93
"control","BB-W1-0244",24,0,"climate",NA,100,100,41,81
"control","BB-W1-0253",1,0,"climate",NA,8,12,10,12
"control","BB-W1-0253",3,0,"climate",NA,5,6,92,85
"control","BB-W1-0253",8,0,"climate",NA,83,84,88,76
"control","BB-W1-0253",17,0,"climate",NA,5,5,76,74
"control","BB-W1-0253",26,0,"climate",NA,64,68,60,64
"control","BB-W1-0269",8,0,"climate",NA,37,37,34,33
"control","BB-W1-0269",11,0,"climate",NA,27,27,27,24
"control","BB-W1-0269",20,0,"climate",NA,58,59,58,54
"control","BB-W1-0269",25,0,"climate",NA,23,24,28,23
"control","BB-W1-0269",26,0,"climate",NA,58,59,56,43
"control","BB-W1-0279",1,0,"climate",NA,100,100,100,100
"control","BB-W1-0279",7,0,"climate",NA,100,100,100,100
"control","BB-W1-0279",12,0,"climate",NA,100,100,70,70
"control","BB-W1-0279",22,0,"climate",NA,100,100,75,0
"control","BB-W1-0279",24,0,"climate",NA,100,100,73,74
"control","BB-W1-0286",5,0,"climate",NA,100,100,100,100
"control","BB-W1-0286",11,0,"climate",NA,20,60,40,50
"control","BB-W1-0286",12,0,"climate",NA,100,100,100,100
"control","BB-W1-0286",18,0,"climate",NA,50,50,100,100
"control","BB-W1-0286",23,0,"climate",NA,50,0,75,70
"control","BB-W1-0290",2,0,"climate",NA,36,58,42,53
"control","BB-W1-0290",3,0,"climate",NA,42,55,24,34
"control","BB-W1-0290",4,0,"climate",NA,29,62,44,64
"control","BB-W1-0290",11,0,"climate",NA,38,45,46,62
"control","BB-W1-0290",15,0,"climate",NA,49,66,54,63
"control","BB-W1-0303",3,0,"climate",NA,54,53,48,48
"control","BB-W1-0303",7,0,"climate",NA,65,66,41,46
"control","BB-W1-0303",11,0,"climate",NA,64,66,48,57
"control","BB-W1-0303",12,0,"climate",NA,58,59,50,56
"control","BB-W1-0303",23,0,"climate",NA,46,51,15,22
"control","BB-W1-0307",10,0,"climate",NA,41,31,0,0
"control","BB-W1-0307",12,0,"climate",NA,72,72,0,0
"control","BB-W1-0307",15,0,"climate",NA,25,24,0,0
"control","BB-W1-0307",16,0,"climate",NA,89,65,0,0
"control","BB-W1-0307",23,0,"climate",NA,37,33,0,0
"control","BB-W1-0315",5,0,"climate",NA,0,0,0,0
"control","BB-W1-0315",6,0,"climate",NA,0,0,0,0
"control","BB-W1-0315",11,0,"climate",NA,0,0,0,0
"control","BB-W1-0315",17,0,"climate",NA,0,0,0,0
"control","BB-W1-0315",22,0,"climate",NA,0,0,0,0
"control","BB-W1-0325",16,0,"climate",NA,47,69,4,15
"control","BB-W1-0325",20,0,"climate",NA,93,88,2,24
"control","BB-W1-0325",22,0,"climate",NA,23,17,0,0
"control","BB-W1-0325",23,0,"climate",NA,42,58,0,11
"control","BB-W1-0325",26,0,"climate",NA,72,85,0,0
"control","BB-W1-0333",2,0,"climate",NA,8,11,26,51
"control","BB-W1-0333",14,0,"climate",NA,8,16,9,10
"control","BB-W1-0333",15,0,"climate",NA,15,44,6,7
"control","BB-W1-0333",22,0,"climate",NA,55,66,45,59
"control","BB-W1-0333",23,0,"climate",NA,25,28,32,47
"control","BB-W1-0339",3,0,"climate",NA,62,62,62,51
"control","BB-W1-0339",8,0,"climate",NA,65,86,15,9
"control","BB-W1-0339",14,0,"climate",NA,94,93,29,13
"control","BB-W1-0339",18,0,"climate",NA,71,72,57,37
"control","BB-W1-0339",22,0,"climate",NA,74,74,49,18
"control","BB-W1-0346",11,0,"climate",NA,24,21,9,33
"control","BB-W1-0346",12,0,"climate",NA,47,46,17,17
"control","BB-W1-0346",19,0,"climate",NA,27,28,16,13
"control","BB-W1-0346",21,0,"climate",NA,27,26,21,25
"control","BB-W1-0346",23,0,"climate",NA,40,39,28,25
"control","BB-W1-0347",5,0,"climate",NA,100,100,0,75
"control","BB-W1-0347",7,0,"climate",NA,75,75,0,75
"control","BB-W1-0347",22,0,"climate",NA,25,25,0,0
