"group","SID","item","article_cond","article_number","trial","topic","sharing_type_key","sharing_type","msg_share","msg_rel_self","msg_rel_social","n_words"
"untimed","s338","1","other",76,1,"climate","msg_share_broad",0,6,10,11,NA
"timed","s339","1","self",17,1,"health","msg_share_broad",0,48,78,86,NA
"timed","s340","1","other",75,1,"health","msg_share_broad",0,0,0,0,NA
"timed","s341","1","other",78,1,"health","msg_share_broad",0,11,4,2,NA
"comment","s342","1","self",76,1,"climate","msg_share_broad",0,2,32,32,10
"comment","s343","1","control",31,1,"climate","msg_share_broad",0,0,86,93,13
"untimed","s344","1","self",47,1,"climate","msg_share_broad",0,0,0,0,NA
"untimed","s345","1","self",9,1,"climate","msg_share_broad",0,4,36,35,NA
"comment","s346","1","other",40,1,"climate","msg_share_broad",0,31,96,93,18
"untimed","s347","1","other",28,1,"health","msg_share_broad",0,5,3,3,NA
"timed","s348","1","control",93,1,"health","msg_share_broad",0,50,52,18,NA
"timed","s349","1","other",67,1,"health","msg_share_broad",0,71,80,78,NA
"timed","s350","1","control",14,1,"climate","msg_share_broad",0,43,54,53,NA
"comment","s351","1","other",56,1,"health","msg_share_broad",0,49,17,100,10
"timed","s352","1","self",49,1,"health","msg_share_broad",0,52,57,62,NA
"timed","s353","1","self",52,1,"climate","msg_share_broad",0,0,15,14,NA
"comment","s354","1","other",6,1,"climate","msg_share_broad",0,0,35,35,30
"untimed","s355","1","other",13,1,"climate","msg_share_broad",0,4,65,77,NA
"comment","s356","1","other",69,1,"health","msg_share_broad",0,49,1,76,11
"untimed","s357","1","other",73,1,"climate","msg_share_broad",0,0,31,31,NA
"timed","s358","1","control",17,1,"health","msg_share_broad",0,33,32,32,NA
"untimed","s359","1","self",90,1,"climate","msg_share_broad",0,24,29,71,NA
"untimed","s360","1","control",82,1,"climate","msg_share_broad",0,50,71,72,NA
"untimed","s361","1","other",10,1,"climate","msg_share_broad",0,0,74,62,NA
