"SID","article_cond","article_number","topic","msg_rel_self","msg_rel_social","LiveShare","n_articles","sharing_type","msg_share","sharing_type_key","comment","Article.Title","Source.URL","Topic","check","n_words"
"s006","other",55,"health",100,100,0,10,1,0,"msg_share_broad","I know many people who are just exhausted and give in to these kid menu and kid food traps. However if we stop buying this stuff they will stop offering it. The long term health of our kids will be better and they will thank us for it when they are older and know better.","How to Break Out of the Children’s Menu Trap","https://www.nytimes.com/2019/10/23/well/eat/Children-food-health.html","wellness",0,55
"s006","control",18,"climate",20,10,0,10,1,0,"msg_share_broad","It is about how Greta Thunberg became a child climate activist. The hurdles and mental struggles she endured also some of the scrutiny from the public.","Becoming Greta: ‘Invisible Girl’ to Global Climate Activist, With Bumps Along the Way","https://www.nytimes.com/2019/02/18/climate/greta-thunburg.html","climate",0,26
"s006","other",109,"health",0,0,0,10,1,0,"msg_share_broad","The obesity paradox is not true. The obesity paradox is the idea that obese people live longer than those with a normal weight. However obese people are at greater risk for heart problems and actually have a 2 or 3 shorter lifespan on average than those of a normal weight","‘Obesity Paradox’ Fails to Hold Up in Study","https://www.nytimes.com/2018/02/28/well/obesity-paradox-fails-to-hold-up-in-study.html","wellness",0,50
"s007","self",63,"health",10,20,0,14,1,10,"msg_share_broad","It is always good to have all the facts","Opposed to G.M.O.s? How Much Do You Know About Them?","https://www.nytimes.com/2019/01/15/well/eat/gmo-foods-genetically-modified-knowledge.html","wellness",0,9
"s007","control",56,"climate",60,60,0,14,1,40,"msg_share_broad","How single use plastics are harmful to the environment and ways to break the habit.","How to Break Your Single-Use Plastics Habit","https://www.nytimes.com/2019/04/16/smarter-living/wirecutter/stop-using-single-use-plastics.html","climate",0,15
"s007","other",49,"health",40,60,0,14,1,30,"msg_share_broad","Those who have metabolic syndrome which may pertain to people I know are at greater risk for Parkinsons.","Heart Risks Tied to Parkinson’s Disease","https://www.nytimes.com/2018/08/24/well/eat/heart-risks-tied-to-parkinsons-disease.html","wellness",0,18
"s007","control",7,"climate",70,70,0,14,1,40,"msg_share_broad","Investigators are learning to investigate and how to live with fire in an increasingly fire prone world.","A Forecast for a Warming World Learn to Live With Fire","https://www.nytimes.com/2019/10/24/climate/california-wildfires-climate-change.html","climate",0,17
"s007","self",8,"health",60,60,0,14,1,40,"msg_share_broad","Always interested in the psyiology of exercise and weight control","A Possible Weight Loss Strategy: Skip Breakfast Before Exercise","https://www.nytimes.com/2019/05/22/well/move/a-possible-weight-loss-strategy-skip-breakfast-before-exercise.html","wellness",0,10
"s007","control",66,"climate",60,60,0,14,1,60,"msg_share_broad","What to use at the grocery store","Plastic Bags, or Paper? Here’s What to Consider When You Hit the Grocery Store","https://www.nytimes.com/2019/03/29/climate/plastic-paper-shopping-bags.html","climate",0,7
"s007","control",70,"climate",60,60,0,14,1,60,"msg_share_broad","It is about drilling in artic refuge","Senate Takes Step to Approve Drilling in Arctic Wildlife Refuge","https://www.nytimes.com/2017/10/13/climate/arctic-drilling.html","climate",0,7
"s007","self",33,"health",60,60,0,14,1,60,"msg_share_broad","It is important info to know","Does Cooking Boost Nutrients in Tomatoes and Spinach?","https://www.nytimes.com/2017/09/01/well/eat/does-cooking-boost-nutrients-in-tomatoes-and-spinach.html","wellness",0,6
"s007","other",65,"climate",60,60,0,14,1,60,"msg_share_broad","Kids are getting involved in climate change","Pictures From Youth Climate Strikes Around the World","https://www.nytimes.com/2019/03/15/climate/climate-school-strikes.html","climate",0,7
"s007","control",34,"health",60,60,0,14,1,60,"msg_share_broad","Does strong immunity ward off disease","Does a ‘Strong’ Immune System Ward Off Colds and Flu?","https://www.nytimes.com/2017/12/29/well/live/does-a-strong-immune-system-ward-off-colds-and-flu.html","wellness",0,6
"s007","other",11,"climate",60,60,0,14,1,60,"msg_share_broad","It is important to save energy","Americans Are Staying Home More. That’s Saving Energy.","https://www.nytimes.com/2018/01/29/climate/americans-staying-home-energy.html","climate",0,6
"s007","self",97,"health",60,60,0,14,1,60,"msg_share_broad","I want to avoid kidney stonres","What Foods Should I Avoid to Prevent Kidney Stones?","https://www.nytimes.com/2018/09/14/well/live/what-foods-should-i-avoid-to-prevent-kidney-stones.html","wellness",0,6
"s008","control",86,"climate",30,40,0,6,1,10,"msg_share_broad","tactical political ads are being used on TV and social media to swing support to combat climate change","Three Campaign Ads That Are Putting Climate Change on the Agenda","https://www.nytimes.com/2018/10/25/climate/campaign-ads-climate-change.html","climate",0,18
"s008","other",33,"health",70,70,0,6,1,10,"msg_share_broad","cooking vegetables may actually decrease the amount of nutrients in food especially when boiling.","Does Cooking Boost Nutrients in Tomatoes and Spinach?","https://www.nytimes.com/2017/09/01/well/eat/does-cooking-boost-nutrients-in-tomatoes-and-spinach.html","wellness",0,14
"s008","self",65,"climate",20,10,0,6,1,0,"msg_share_broad","young teens are opting to skip school in order to protest for climate change recognition in order to secure the state of the world for their and future generations.","Pictures From Youth Climate Strikes Around the World","https://www.nytimes.com/2019/03/15/climate/climate-school-strikes.html","climate",0,29
"s008","self",23,"health",0,10,0,6,1,0,"msg_share_broad","according to some studies cyclists had lower bone density than runners.","Can Low-Impact Sports Like Cycling Be Putting Your Bones at Risk","https://www.nytimes.com/2019/01/30/well/move/can-low-impact-sports-like-cycling-be-putting-your-bones-at-risk.html","wellness",0,11
