"SID","article_cond","article_number","topic","n_articles","msg_rel_self","msg_rel_social","msg_share","sharing_type","sharing_type_key","sharing_behavior","n_words"
"s025","control",88,"climate",9,90,70,70,1,"msg_share_broad",0,15
"s026","self",13,"health",4,100,70,60,1,"msg_share_broad",0,39
"s026","control",31,"climate",4,60,40,30,1,"msg_share_broad",0,8
"s026","other",71,"health",4,90,100,70,1,"msg_share_broad",0,42
"s026","other",15,"climate",4,60,0,20,1,"msg_share_broad",0,20
"s027","control",95,"health",10,30,40,0,1,"msg_share_broad",0,14
"s027","other",40,"climate",10,10,0,0,1,"msg_share_broad",0,34
"s027","self",8,"health",10,40,60,0,1,"msg_share_broad",0,13
"s027","self",53,"climate",10,0,0,0,1,"msg_share_broad",0,12
"s027","self",102,"health",10,0,90,0,1,"msg_share_broad",0,17
"s027","control",65,"climate",10,90,90,10,1,"msg_share_broad",0,12
"s027","control",103,"health",10,90,90,0,1,"msg_share_broad",0,11
"s027","other",82,"climate",10,90,90,0,1,"msg_share_broad",0,33
"s027","self",59,"health",10,100,90,10,1,"msg_share_broad",0,24
"s027","other",7,"climate",10,20,20,0,1,"msg_share_broad",0,26
"s028","control",16,"climate",4,70,70,20,1,"msg_share_broad",0,30
"s028","self",76,"health",4,30,40,0,1,"msg_share_broad",0,38
"s028","other",79,"climate",4,90,90,50,1,"msg_share_broad",0,36
"s028","control",87,"health",4,60,60,40,1,"msg_share_broad",0,29
"s029","control",104,"climate",16,0,10,0,1,"msg_share_broad",0,40
"s029","other",19,"health",16,90,90,0,1,"msg_share_broad",0,14
"s029","self",66,"climate",16,90,80,10,1,"msg_share_broad",0,26
"s029","self",97,"health",16,40,80,0,1,"msg_share_broad",0,15
"s029","other",51,"climate",16,20,30,0,1,"msg_share_broad",0,20
"s029","control",9,"health",16,10,60,0,1,"msg_share_broad",0,19
"s029","control",28,"climate",16,40,60,0,1,"msg_share_broad",0,25
"s029","self",75,"health",16,90,90,0,1,"msg_share_broad",0,11
"s029","other",67,"climate",16,70,90,30,1,"msg_share_broad",0,17
"s029","self",64,"health",16,90,90,0,1,"msg_share_broad",0,22
"s029","control",61,"climate",16,70,80,30,1,"msg_share_broad",0,15
"s029","other",76,"health",16,30,40,0,1,"msg_share_broad",0,16
"s029","other",111,"climate",16,50,30,0,1,"msg_share_broad",0,22
"s029","self",59,"health",16,40,60,0,1,"msg_share_broad",0,14
"s029","control",54,"climate",16,80,80,20,1,"msg_share_broad",0,16
"s029","control",42,"health",16,60,60,0,1,"msg_share_broad",0,17
"s030","self",47,"health",11,90,90,80,1,"msg_share_broad",0,36
"s030","control",99,"climate",11,90,90,90,1,"msg_share_broad",0,29
"s030","other",48,"health",11,100,100,100,1,"msg_share_broad",0,44
"s030","self",1,"climate",11,90,90,90,1,"msg_share_broad",0,41
"s030","other",41,"health",11,100,100,100,1,"msg_share_broad",0,30
"s030","control",38,"climate",11,70,50,50,1,"msg_share_broad",0,39
"s030","control",55,"health",11,50,80,20,1,"msg_share_broad",0,42
"s030","other",40,"climate",11,80,80,90,1,"msg_share_broad",0,51
"s030","self",3,"health",11,90,100,80,1,"msg_share_broad",0,39
"s030","self",88,"climate",11,100,100,90,1,"msg_share_broad",0,28
"s030","other",25,"health",11,100,100,100,1,"msg_share_broad",0,33
